Word,Average TF-IDF Weight
技术服务,0.041692208600399835
技术咨询,0.04038735845787564
技术转让,0.03890649718149455
经相关部门批准后方可开展经营活动,0.038765682189054004
依法须经批准的项目,0.038586668576174384
一般项目,0.03618338460472644
凭营业执照依法自主开展经营活动,0.03618338460472644
除依法须经批准的项目外,0.036182518459389953
技术推广,0.035162428935898674
软件开发,0.034717874221180944
技术开发,0.03453043373385418
技术交流,0.03384210243022292
销售,0.029815939357683844
信息技术咨询服务,0.027111822609733695
信息系统集成服务,0.024960176767323622
许可项目,0.024168692986284334
具体经营项目以相关部门批准文件或许可证件为准,0.02410127134494563
计算机软硬件及辅助设备零售,0.020692837649538692
电子产品销售,0.01849553740191171
会议及展览服务,0.01761159948779034
代理,0.017391975740267282
广告设计,0.017026760024455415
企业管理咨询,0.016799311605752633
电子产品,0.01559338536947572
信息咨询服务,0.015337259192685953
不含许可类信息咨询服务,0.01518199659224603
软件销售,0.014894273888036297
计算机软硬件及辅助设备批发,0.013701144746065414
制作,0.013388427400265447
信息系统运行维护服务,0.013309600211886081
网络与信息安全软件开发,0.013125695972612506
计算机系统服务,0.013049844776781358
人工智能应用软件开发,0.012608903418454635
软件外包服务,0.0123954150270434
市场营销策划,0.011899254311240153
互联网信息服务,0.01180081501574428
网络技术服务,0.011687623697813704
数据处理和存储支持服务,0.011379360059036003
物联网技术研发,0.011218250048897517
设计,0.011214745650842657
生产,0.011164593596313664
广告制作,0.01115656046214085
互联网数据服务,0.0110236402926815
物联网技术服务,0.010873823474757918
施工,0.010398921452201698
办公用品销售,0.010394369343197114
数据处理服务,0.010120301648547674
工程和技术研究和试验发展,0.009883347685385084
安装,0.00984411064942386
专业设计服务,0.009756693261521662
建设工程施工,0.009513296901012953
货物进出口,0.009444809115429904
企业形象策划,0.009261998218072833
互联网销售,0.009143999138845614
除销售需要许可的商品,0.009143999138845614
机械设备,0.009081941007587635
机械设备销售,0.008956579346459635
广告发布,0.008853999130935838
发布,0.008780299182322024
工程管理服务,0.008757582617567228
不含危险化学品,0.008698599210740933
通讯设备销售,0.008650370224116823
维修,0.008521274639732913
科技中介服务,0.008449441121727241
网络设备销售,0.008445381940725003
仪器仪表销售,0.008253454866924815
办公用品,0.008018255394953187
技术进出口,0.008003978336931613
仪器仪表,0.007994919960414718
计算机及办公设备维修,0.007930251050639268
平面设计,0.007922131123606008
工业互联网数据服务,0.007904366087186017
办公设备销售,0.007889758955109275
开发,0.007770834562293923
食品销售,0.007335564599087787
计算机系统集成,0.007329468045053368
第二类增值电信业务,0.007313218576974063
日用百货销售,0.007300337647538227
信息安全设备销售,0.007299450926281738
法律,0.007228225163419806
安全技术防范系统设计施工服务,0.007061446886154547
仅销售预包装食品,0.006976827188616806
大数据服务,0.006941325677885979
智能控制系统集成,0.006884581927422839
五金交电,0.006874830512272344
通讯设备,0.006873639874622836
安防设备销售,0.006855444457146311
云计算装备技术服务,0.0068119161893240065
互联网安全服务,0.006807757731915997
机械设备租赁,0.00680644345931333
办公设备耗材销售,0.0068045172085396816
人工智能基础软件开发,0.006722835539911908
机械设备研发,0.006597142743114097
不含涉外调查,0.006594525132262813
第一类医疗器械销售,0.006584244287914242
知识产权服务,0.006538819346565867
组织文化艺术交流活动,0.006518159020835919
第二类医疗器械销售,0.006393703515837785
五金产品零售,0.006381370309145638
建设工程设计,0.006369909065353916
咨询策划服务,0.006309389454417631
商务信息咨询,0.006232000705044338
市场调查,0.006226892286493634
智能机器人的研发,0.006163046474126667
教育咨询服务,0.006156634720825382
建筑材料销售,0.0060804087868303325
不含涉许可审批的教育培训活动,0.006016838523747574
物联网设备销售,0.005976405886816267
家用电器,0.005934886375637238
社会经济咨询服务,0.005930271563023912
不含出版发行,0.005878764627925862
数字内容制作服务,0.0058623113583532
国内贸易代理,0.005828327897283461
人工智能行业应用系统集成服务,0.0058253816763755295
环保咨询服务,0.005774728892896529
建筑智能化系统设计,0.005710990574685583
检验检测服务,0.005632126379785175
教育信息咨询,0.0055039583899494544
企业管理,0.005496338327066322
测绘服务,0.005492335912290729
劳务服务,0.005472694811671557
办公服务,0.005442043310677514
家用电器销售,0.005432829489131137
人力资源服务,0.005416222818543907
日用百货,0.005391144207130622
制造,0.005390441767553431
图文设计制作,0.005373032433230561
劳务派遣服务,0.005362359845489302
商务代理代办服务,0.0053442122328875175
不含教育培训,0.005337921761986988
系统集成,0.005328124358838061
机电设备,0.005297019198923932
不含劳务派遣,0.005289575463526828
摄像及视频制作服务,0.0052798194686348955
电子,0.005266690161341787
计算机,0.005199235766489851
不含职业中介活动,0.005185793700983653
业务培训,0.0051497982484909
职业技能培训等需取得许可的培训,0.005106531142447461
维护,0.005052289899202136
进出口贸易,0.005051399101868368
计算机软硬件,0.005027831679648951
工业设计服务,0.005018116298570188
工程技术服务,0.005009931317718451
通信设备销售,0.004991458125092494
网上贸易代理,0.0049774577554524925
文具用品零售,0.0049621908111943175
云计算设备销售,0.004957672292612871
勘察,0.0049513593187896655
网络工程,0.004935836508678153
普通机械设备安装服务,0.0049075712402001535
系统集成服务,0.004877969781278522
保健食品,0.004860539479033753
物联网应用服务,0.004859398834751316
监理除外,0.004816607394486678
规划管理,0.004816607394486678
物业管理,0.004724927050562914
5g通信技术服务,0.00463968066010359
调试,0.0045764932871288
人工智能理论与算法软件开发,0.004571916702086481
数字视频监控系统销售,0.004561042497601818
机械电气设备销售,0.004549589034607502
专利代理服务除外,0.0045197335216471445
建筑装饰材料销售,0.004501744507396328
环境保护监测,0.004497089234431725
安全系统监控服务,0.004474083520796709
第一类增值电信业务,0.0044666928508005745
新材料技术研发,0.004458153420203522
教学专用仪器销售,0.004428573558434711
电子专用设备销售,0.004410934083145879
数字文化创意软件开发,0.004402020522872231
第三类医疗器械经营,0.00439855045997514
通用设备修理,0.0043920699366007164
计算机软硬件及外围设备制造,0.0043689863069292165
文化用品,0.004368141932587346
农业科学研究和试验发展,0.004264087208314307
计算机软硬件开发,0.004193772382741496
计算机软硬件及辅助设备,0.004167775183048163
食品互联网销售,0.004162152145023725
象牙及其制品除外,0.004159225404944793
电气安装服务,0.004157839451360428
不含许可类化工产品,0.0041535175055754355
机械零件,0.004137713576849525
计算机及通讯设备租赁,0.004137378381240057
互联网设备销售,0.004116710875026517
智能无人飞行器销售,0.004086142030299485
咨询,0.004078853456271436
电气设备销售,0.0040630753605161015
动漫游戏开发,0.004062393377781586
电子元器件零售,0.004062218917081716
地理遥感信息服务,0.00403788220979758
环境保护专用设备销售,0.004027707162522674
法规和国务院决定禁止的项目不得经营,0.004014748585976982
研发,0.004005204085500305
办公设备,0.0039749578623657095
智能农业管理,0.0039686012701671235
消防器材销售,0.003942253393831109
电线,0.003940106495812929
不含许可类租赁服务,0.003934514908359054
租赁服务,0.003934514908359054
建筑劳务分包,0.00390293730849854
数据处理和存储服务,0.0038792557695005447
家具销售,0.0038772156762178454
专用设备修理,0.0038586590186340743
集成电路设计,0.0038540246869615616
工业自动控制系统装置销售,0.003847629320788125
不含特种设备,0.0038353221363436655
机械设备维护,0.0038353221363436655
销售代理,0.0037895199372529292
体育用品及器材零售,0.0037859389623174974
计算机软件开发,0.003776002817513398
工业控制计算机及系统销售,0.0037647092628489446
化工产品销售,0.003758852699288331
住宅室内装饰装修,0.0037577818447668892
医疗器械,0.0037342163696064295
人工智能基础资源与技术平台,0.003711774847701988
医学研究和试验发展,0.0037083241544366005
租赁,0.003691979049972452
智能仪器仪表销售,0.003691228117734239
数据处理,0.003677230274284735
加工,0.0036666366071179133
工程造价咨询业务,0.003652586445125532
计算机软件,0.0036511498649352586
